Code départemental de l’établissement;Capacité de l’établissement par formation;Effectif des admis néo bacheliers généraux ayant eu une mention au bac;Sélectivité
38;36;14;formation sélective
38;24;24;formation sélective
38;120;50;formation sélective
38;100;34;formation sélective
38;15;1;formation sélective
38;140;61;formation sélective
38;16;1;formation sélective
38;32;9;formation sélective
38;36;34;formation sélective
38;124;49;formation non sélective
38;30;3;formation sélective
38;24;0;formation sélective
38;20;0;formation sélective
38;27;0;formation sélective
39;24;0;formation sélective
39;90;13;formation sélective
39;15;0;formation sélective
39;38;0;formation sélective
39;28;7;formation sélective
39;12;0;formation sélective
39;40;0;formation sélective
40;15;0;formation sélective
40;28;1;formation sélective
40;15;0;formation sélective
40;35;2;formation sélective
40;33;1;formation sélective
40;35;1;formation sélective
40;52;17;formation sélective
40;15;0;formation sélective
40;14;1;formation sélective
41;48;28;formation sélective
41;34;4;formation sélective
41;18;1;formation sélective
41;15;1;formation sélective
41;24;10;formation sélective
41;24;0;formation sélective
41;40;11;formation non sélective
41;56;17;formation sélective
42;15;0;formation sélective
42;24;0;formation sélective
42;15;1;formation sélective
42;48;44;formation sélective
42;34;1;formation sélective
42;20;2;formation sélective
42;30;2;formation sélective
42;45;14;formation sélective
42;15;0;formation sélective
42;30;0;formation sélective
42;14;1;formation sélective
42;30;1;formation sélective
42;34;5;formation sélective
42;24;0;formation sélective
42;30;4;formation sélective
42;140;37;formation non sélective
42;160;45;formation non sélective
42;570;200;formation non sélective
42;95;68;formation sélective
42;45;8;formation sélective
42;28;0;formation sélective
43;7;2;formation sélective
43;5;0;formation sélective
43;8;2;formation sélective
43;28;1;formation sélective
44;48;49;formation sélective
44;24;2;formation sélective
44;24;1;formation sélective
44;24;0;formation sélective
44;16;0;formation sélective
44;100;79;formation sélective
44;78;20;formation sélective
44;90;50;formation sélective
44;24;0;formation sélective
44;18;0;formation sélective
44;35;0;formation sélective
44;35;1;formation sélective
44;35;1;formation sélective
44;35;1;formation sélective
44;68;5;formation sélective
44;18;0;formation sélective
44;100;41;formation sélective
44;30;2;formation sélective
44;18;2;formation sélective
44;15;0;formation sélective
44;35;4;formation sélective
44;35;4;formation sélective
45;30;2;formation sélective
45;15;0;formation sélective
45;96;57;formation sélective
45;34;4;formation sélective
45;33;3;formation sélective
45;40;21;formation sélective
45;15;1;formation sélective
45;28;1;formation sélective
45;20;1;formation sélective
45;15;0;formation sélective
45;14;0;formation sélective
45;28;0;formation sélective
45;36;5;formation sélective
46;12;0;formation sélective
46;15;1;formation sélective
46;45;9;formation sélective
47;12;0;formation sélective
47;15;0;formation sélective
47;35;0;formation sélective
48;24;0;formation sélective
48;35;2;formation sélective
48;70;0;formation sélective
49;45;27;formation sélective
49;21;2;formation sélective
49;17;3;formation sélective
49;24;3;formation sélective
49;18;0;formation sélective
49;35;14;formation sélective
49;162;80;formation sélective
49;70;30;formation non sélective
49;55;11;formation non sélective
49;60;21;formation non sélective
49;24;4;formation sélective
49;24;17;formation sélective
49;24;1;formation sélective
49;18;0;formation sélective
49;35;11;formation sélective
49;24;5;formation sélective
49;24;1;formation sélective
49;17;0;formation sélective
49;32;3;formation sélective
49;50;16;formation non sélective
49;220;71;formation non sélective
49;33;9;formation non sélective
49;180;112;formation non sélective
49;368;173;formation non sélective
49;48;48;formation sélective
49;34;10;formation sélective
49;30;1;formation sélective
50;35;1;formation sélective
50;18;1;formation sélective
50;24;0;formation sélective
50;24;1;formation sélective
50;18;1;formation sélective
50;24;0;formation sélective
50;16;3;formation sélective
50;78;22;formation sélective
50;44;2;formation sélective
50;42;8;formation sélective
51;80;80;formation sélective
51;36;11;formation sélective
51;52;20;formation sélective
51;50;16;formation sélective
51;106;33;formation sélective
51;24;0;formation sélective
51;16;4;formation sélective
51;30;3;formation sélective
51;494;241;formation non sélective
51;17;12;formation sélective
51;60;10;formation non sélective
51;70;13;formation non sélective
51;30;0;formation sélective
51;15;0;formation sélective
51;38;4;formation sélective
51;28;1;formation sélective
52;8;0;formation sélective
52;20;2;formation sélective
53;24;1;formation sélective
53;35;2;formation sélective
53;24;0;formation sélective
53;15;0;formation sélective
53;10;1;formation sélective
53;24;1;formation sélective
53;35;7;formation sélective
53;35;0;formation sélective
54;35;1;formation sélective
54;24;1;formation sélective
54;35;2;formation sélective
54;30;1;formation sélective
54;24;0;formation sélective
54;15;0;formation sélective
54;15;0;formation sélective
54;84;22;formation sélective
54;104;37;formation sélective
54;15;0;formation sélective
54;168;65;formation sélective
54;52;18;formation sélective
54;25;9;formation sélective
54;332;100;formation non sélective
54;200;82;formation non sélective
54;570;359;formation non sélective
54;135;82;formation non sélective
54;60;15;formation non sélective
54;120;29;formation non sélective
54;150;35;formation non sélective
54;400;176;formation non sélective
54;52;5;formation sélective
54;15;0;formation sélective
54;35;1;formation sélective
55;24;0;formation sélective
56;35;0;formation sélective
56;35;0;formation sélective
56;24;0;formation sélective
56;48;40;formation sélective
56;35;0;formation sélective
56;35;1;formation sélective
56;40;0;formation sélective
56;16;1;formation sélective
56;28;0;formation sélective
56;112;43;formation sélective
56;112;52;formation sélective
56;16;0;formation sélective
56;48;26;formation sélective
56;35;0;formation sélective
56;15;0;formation sélective
56;50;14;formation non sélective
56;50;12;formation non sélective
56;83;27;formation non sélective
56;24;19;formation sélective
56;104;13;formation non sélective
56;150;64;formation non sélective
56;55;7;formation non sélective
56;120;27;formation non sélective
56;25;19;formation sélective
57;24;1;formation sélective
57;35;0;formation sélective
57;30;0;formation sélective
57;24;0;formation sélective
57;35;2;formation sélective
57;15;0;formation sélective
57;15;0;formation sélective
57;24;0;formation sélective
57;56;14;formation sélective
57;35;1;formation sélective
57;35;3;formation sélective
57;35;2;formation sélective
57;15;6;formation sélective
57;40;5;formation non sélective
57;160;52;formation non sélective
57;150;42;formation non sélective
57;24;1;formation sélective
57;15;2;formation sélective
57;60;0;formation sélective
57;24;5;formation sélective
57;62;10;formation sélective
57;24;3;formation sélective
57;48;1;formation sélective
58;19;0;formation sélective
59;33;1;formation sélective
59;35;2;formation sélective
59;24;3;formation sélective
59;38;0;formation sélective
59;48;26;formation sélective
59;48;23;formation sélective
59;15;0;formation sélective
59;22;1;formation sélective
59;33;0;formation sélective
59;48;26;formation sélective
59;30;4;formation sélective
59;30;6;formation sélective
59;60;13;formation sélective
59;30;0;formation sélective
59;32;0;formation sélective
59;32;0;formation sélective
59;96;85;formation sélective
59;24;21;formation sélective
59;35;6;formation sélective
59;48;0;formation sélective
59;30;0;formation sélective
59;24;0;formation sélective
59;70;20;formation sélective
59;35;2;formation sélective
59;23;7;formation sélective
59;35;6;formation sélective
59;35;5;formation sélective
59;35;0;formation sélective
59;48;6;formation sélective
59;35;0;formation sélective
59;34;1;formation sélective
59;28;0;formation sélective
59;40;4;formation sélective
59;32;0;formation sélective
59;32;0;formation sélective
59;30;3;formation sélective
59;30;0;formation sélective
59;30;0;formation sélective
59;34;0;formation sélective
59;78;16;formation sélective
59;54;0;formation sélective
59;18;0;formation sélective
59;43;1;formation sélective
59;36;6;formation sélective
59;35;6;formation sélective
59;70;28;formation non sélective
59;200;71;formation non sélective
59;570;140;formation non sélective
59;40;2;formation non sélective
59;150;57;formation non sélective
59;150;38;formation non sélective
59;110;111;formation sélective
59;30;2;formation sélective
59;42;9;formation sélective
59;183;46;formation sélective
59;35;2;formation sélective
59;15;0;formation sélective
59;35;0;formation sélective
59;59;0;formation sélective
59;35;0;formation sélective
59;180;15;formation non sélective
59;72;11;formation non sélective
59;72;16;formation non sélective
59;35;3;formation sélective
60;15;0;formation sélective
60;22;3;formation sélective
60;48;17;formation sélective
60;22;0;formation sélective
60;23;0;formation sélective
60;22;0;formation sélective
60;48;34;formation sélective
60;15;0;formation sélective
60;15;2;formation sélective
60;33;2;formation sélective
60;16;0;formation sélective
60;35;0;formation sélective
61;22;0;formation sélective
61;24;1;formation sélective
61;24;0;formation sélective
61;27;1;formation sélective
61;56;5;formation sélective
61;56;8;formation sélective
61;42;0;formation sélective
62;35;1;formation sélective
62;15;1;formation sélective
62;15;0;formation sélective
62;35;2;formation sélective
62;35;0;formation sélective
62;35;10;formation sélective
62;33;0;formation sélective
62;32;0;formation sélective
62;32;0;formation sélective
62;35;0;formation sélective
62;24;0;formation sélective
62;35;3;formation sélective
62;30;9;formation sélective
62;72;13;formation non sélective
62;30;0;formation sélective
62;40;2;formation sélective
62;25;1;formation sélective
62;52;3;formation sélective
62;32;3;formation sélective
62;36;4;formation sélective
62;15;0;formation sélective
62;96;0;formation sélective
62;66;30;formation sélective
62;36;0;formation sélective
62;108;11;formation non sélective
62;108;36;formation non sélective
62;36;10;formation non sélective
62;20;2;formation non sélective
62;76;10;formation non sélective
62;48;1;formation non sélective
62;35;0;formation sélective
62;40;2;formation sélective
63;95;94;formation sélective
63;96;69;formation sélective
63;35;0;formation sélective
63;32;2;formation sélective
63;35;11;formation sélective
63;35;2;formation sélective
63;15;2;formation sélective
63;24;0;formation sélective
63;12;0;formation sélective
63;30;0;formation sélective
63;180;38;formation non sélective
63;70;49;formation sélective
63;15;0;formation sélective
64;30;0;formation sélective
64;30;0;formation sélective
64;35;0;formation sélective
64;48;42;formation sélective
64;24;1;formation sélective
64;35;2;formation sélective
64;32;5;formation sélective
64;100;19;formation non sélective
64;29;1;formation sélective
64;34;5;formation sélective
64;24;6;formation sélective
64;100;44;formation non sélective
64;5;2;formation sélective
65;24;0;formation sélective
65;35;6;formation sélective
65;150;156;formation sélective
65;12;1;formation sélective
65;56;17;formation sélective
66;36;4;formation sélective
66;18;2;formation sélective
66;75;22;formation non sélective
66;106;25;formation sélective
67;24;2;formation sélective
67;35;1;formation sélective
67;32;3;formation sélective
67;48;45;formation sélective
67;142;133;formation sélective
67;27;4;formation sélective
67;30;7;formation sélective
67;35;2;formation sélective
67;30;1;formation sélective
67;12;0;formation sélective
67;36;6;formation sélective
67;36;1;formation sélective
67;36;1;formation sélective
67;36;13;formation sélective
67;36;13;formation sélective
67;24;0;formation sélective
67;26;0;formation sélective
67;9;6;formation sélective
67;30;13;formation sélective
67;40;1;formation sélective
67;46;4;formation sélective
67;25;1;formation sélective
67;120;48;formation non sélective
67;60;10;formation non sélective
67;50;1;formation non sélective
67;70;2;formation non sélective
67;75;0;formation non sélective
67;45;11;formation non sélective
67;700;272;formation non sélective
67;33;19;formation sélective
67;100;4;formation non sélective
67;285;50;formation non sélective
67;260;102;formation non sélective
68;13;0;formation sélective
68;19;1;formation sélective
68;24;0;formation sélective
68;12;1;formation sélective
68;30;0;formation sélective
68;30;1;formation sélective
68;24;0;formation sélective
68;12;0;formation sélective
68;54;24;formation sélective
68;75;25;formation sélective
68;134;35;formation sélective
68;35;10;formation non sélective
68;20;4;formation non sélective
68;80;28;formation non sélective
68;15;1;formation sélective
68;12;0;formation sélective
69;35;9;formation sélective
69;142;138;formation sélective
69;42;37;formation sélective
69;15;0;formation sélective
69;30;0;formation sélective
69;24;5;formation sélective
69;30;3;formation sélective
69;35;2;formation sélective
69;48;1;formation sélective
69;35;1;formation sélective
69;24;0;formation sélective
69;24;0;formation sélective
69;50;9;formation sélective
69;125;56;formation sélective
69;34;0;formation sélective
69;26;1;formation sélective
69;45;9;formation sélective
69;55;61;formation sélective
69;47;12;formation sélective
69;48;37;formation sélective
69;60;1;formation sélective
69;28;1;formation sélective
69;60;5;formation sélective
69;32;0;formation sélective
69;32;0;formation sélective
69;15;0;formation sélective
69;24;3;formation sélective
69;38;7;formation sélective
69;28;2;formation sélective
69;58;6;formation sélective
69;315;128;formation non sélective
69;130;51;formation sélective
69;40;7;formation non sélective
69;60;5;formation non sélective
69;85;28;formation non sélective
69;35;9;formation non sélective
69;15;1;formation non sélective
69;10;9;formation sélective
69;15;9;formation sélective
69;5;0;formation sélective
69;5;1;formation sélective
69;1270;735;formation non sélective
69;385;262;formation non sélective
69;230;94;formation non sélective
69;115;43;formation non sélective
69;10;0;formation sélective
69;144;130;formation sélective
69;15;0;formation sélective
69;31;4;formation sélective
69;72;0;formation sélective
69;57;10;formation sélective
69;90;40;formation sélective
69;56;26;formation sélective
70;18;0;formation sélective
70;20;0;formation sélective
70;24;2;formation sélective
71;24;0;formation sélective
71;24;0;formation sélective
71;30;19;formation sélective
71;36;2;formation sélective
71;32;0;formation sélective
71;16;13;formation sélective
71;19;0;formation sélective
71;72;12;formation sélective
71;140;22;formation sélective
71;48;1;formation sélective
71;48;12;formation sélective
71;24;0;formation sélective
72;35;0;formation sélective
72;24;2;formation sélective
72;35;0;formation sélective
72;7;0;formation sélective
72;24;0;formation sélective
72;24;0;formation sélective
72;18;3;formation sélective
72;26;1;formation sélective
72;120;47;formation non sélective
72;170;42;formation non sélective
72;90;8;formation non sélective
72;35;0;formation sélective
72;28;0;formation sélective
72;40;11;formation sélective
73;24;0;formation sélective
73;24;1;formation sélective
73;15;0;formation sélective
73;16;0;formation sélective
73;15;0;formation sélective
73;28;0;formation sélective
73;55;20;formation non sélective
73;17;9;formation non sélective
73;32;0;formation sélective
73;28;14;formation sélective
74;24;1;formation sélective
74;30;2;formation sélective
74;15;0;formation sélective
74;24;1;formation sélective
74;30;0;formation sélective
74;33;6;formation sélective
74;31;4;formation sélective
74;30;0;formation sélective
75;24;2;formation sélective
75;47;41;formation sélective
75;24;3;formation sélective
75;48;47;formation sélective
75;40;41;formation sélective
75;144;132;formation sélective
75;93;91;formation sélective
75;96;102;formation sélective
75;96;90;formation sélective
75;96;94;formation sélective
75;96;61;formation sélective
75;35;1;formation sélective
75;35;1;formation sélective
75;24;0;formation sélective
75;24;1;formation sélective
75;46;29;formation sélective
75;24;7;formation sélective
75;96;56;formation sélective
75;24;0;formation sélective
75;60;9;formation sélective
75;35;1;formation sélective
75;48;25;formation sélective
75;48;42;formation sélective
75;48;29;formation sélective
75;48;0;formation sélective
75;70;21;formation sélective
75;70;4;formation sélective
75;70;1;formation sélective
75;70;12;formation sélective
75;32;4;formation sélective
75;105;25;formation sélective
75;24;0;formation sélective
75;24;0;formation sélective
75;48;46;formation sélective
75;35;3;formation sélective
75;35;0;formation sélective
75;122;90;formation non sélective
75;379;244;formation non sélective
75;745;620;formation non sélective
75;25;24;formation sélective
75;30;23;formation non sélective
75;28;5;formation non sélective
75;30;12;formation non sélective
75;70;22;formation non sélective
75;30;11;formation non sélective
75;71;28;formation non sélective
75;40;21;formation non sélective
75;8;0;formation non sélective
75;80;8;formation non sélective
75;300;139;formation non sélective
75;230;67;formation sélective
75;55;4;formation non sélective
75;40;4;formation sélective
75;35;10;formation sélective
75;15;9;formation sélective
75;50;30;formation sélective
75;40;25;formation sélective
75;15;5;formation sélective
75;155;23;formation non sélective
75;330;201;formation non sélective
75;189;99;formation non sélective
75;126;74;formation sélective
75;42;19;formation sélective
75;82;39;formation non sélective
75;100;76;formation sélective
75;28;5;formation sélective
75;35;4;formation sélective
75;20;1;formation non sélective
75;65;9;formation non sélective
75;30;0;formation non sélective
75;45;2;formation non sélective
75;50;6;formation non sélective
75;15;0;formation non sélective
75;150;2;formation non sélective
75;10;0;formation non sélective
75;10;1;formation non sélective
75;10;1;formation non sélective
75;150;75;formation sélective
75;15;0;formation non sélective
75;100;22;formation non sélective
75;35;8;formation sélective
75;28;0;formation sélective
75;80;13;formation sélective
75;35;0;formation sélective
75;35;8;formation sélective
75;33;2;formation sélective
75;92;45;formation sélective
75;168;67;formation sélective
75;70;0;formation sélective
75;24;6;formation sélective
75;35;0;formation sélective
75;250;148;formation sélective
75;45;4;formation sélective
76;35;0;formation sélective
76;48;30;formation sélective
76;30;1;formation sélective
76;6;3;formation sélective
76;96;91;formation sélective
76;35;6;formation sélective
76;30;1;formation sélective
76;45;18;formation sélective
76;45;0;formation sélective
76;35;10;formation sélective
76;56;10;formation sélective
76;24;24;formation sélective
76;30;0;formation sélective
76;15;0;formation sélective
76;53;3;formation sélective
76;100;43;formation sélective
76;135;23;formation sélective
76;20;12;formation sélective
76;18;0;formation sélective
76;35;0;formation sélective
76;18;1;formation sélective
76;400;99;formation non sélective
76;130;18;formation non sélective
76;120;19;formation non sélective
76;700;345;formation non sélective
76;300;43;formation non sélective
27;72;18;formation non sélective
76;24;0;formation sélective
76;100;21;formation non sélective
76;30;3;formation sélective
76;30;0;formation sélective
76;24;0;formation sélective
76;14;1;formation sélective
76;30;1;formation sélective
76;15;3;formation sélective
77;35;2;formation sélective
77;24;0;formation sélective
77;35;3;formation sélective
77;28;0;formation sélective
77;24;0;formation sélective
77;35;1;formation sélective
77;17;0;formation sélective
77;35;0;formation sélective
77;24;0;formation sélective
77;24;0;formation sélective
77;24;0;formation sélective
77;52;4;formation sélective
77;28;0;formation sélective
77;24;0;formation sélective
77;33;1;formation sélective
77;84;23;formation sélective
77;80;25;formation sélective
77;45;16;formation sélective
77;535;398;formation non sélective
77;45;4;formation non sélective
77;90;35;formation non sélective
77;175;21;formation non sélective
77;95;30;formation non sélective
78;22;0;formation sélective
78;106;38;formation non sélective
78;75;23;formation non sélective
78;38;10;formation sélective
78;15;0;formation sélective
78;82;11;formation non sélective
78;48;45;formation sélective
78;33;5;formation sélective
78;30;3;formation sélective
78;35;2;formation sélective
78;26;0;formation sélective
78;96;85;formation sélective
78;26;0;formation sélective
78;35;1;formation sélective
78;15;0;formation sélective
78;129;129;formation sélective
78;35;7;formation sélective
79;24;0;formation sélective
79;20;0;formation sélective
79;20;0;formation sélective
79;32;0;formation sélective
79;12;1;formation sélective
80;32;0;formation sélective
80;12;1;formation sélective
80;35;1;formation sélective
80;96;26;formation sélective
80;33;4;formation sélective
80;31;1;formation sélective
80;35;0;formation sélective
80;130;39;formation sélective
80;45;13;formation sélective
80;85;22;formation sélective
80;34;4;formation sélective
80;180;48;formation non sélective
80;678;184;formation non sélective
80;160;26;formation non sélective
80;500;175;formation non sélective
80;75;13;formation non sélective
80;35;1;formation sélective
80;35;3;formation sélective
80;15;0;formation sélective
80;26;0;formation sélective
80;24;0;formation sélective
80;35;0;formation sélective
81;24;1;formation sélective
81;24;0;formation sélective
81;12;0;formation sélective
81;24;0;formation sélective
81;35;0;formation sélective
81;20;1;formation sélective
81;68;15;formation sélective
81;57;17;formation non sélective
82;16;1;formation sélective
83;15;0;formation sélective
83;33;2;formation sélective
83;100;27;formation sélective
83;55;25;formation sélective
83;163;49;formation sélective
83;339;107;formation non sélective
83;35;1;formation sélective
83;24;0;formation sélective
83;24;0;formation sélective
83;50;0;formation sélective
83;28;1;formation sélective
83;36;26;formation sélective
84;42;12;formation sélective
84;24;0;formation sélective
84;12;0;formation sélective
84;120;9;formation non sélective
84;80;28;formation sélective
85;35;4;formation sélective
85;24;0;formation sélective
85;30;3;formation sélective
85;12;0;formation sélective
85;32;8;formation sélective
85;34;0;formation sélective
85;12;1;formation sélective
85;12;0;formation sélective
85;36;0;formation sélective
85;82;26;formation sélective
85;28;13;formation sélective
86;32;7;formation sélective
86;15;0;formation sélective
86;35;2;formation sélective
86;50;12;formation sélective
86;54;10;formation sélective
86;19;0;formation sélective
86;24;0;formation sélective
86;10;2;formation sélective
86;20;0;formation sélective
86;10;0;formation sélective
86;24;0;formation sélective
87;35;1;formation sélective
87;14;1;formation sélective
87;72;24;formation sélective
87;76;36;formation sélective
87;60;6;formation sélective
87;282;20;formation non sélective
87;165;65;formation non sélective
87;160;9;formation non sélective
87;60;16;formation non sélective
87;120;18;formation non sélective
88;24;0;formation sélective
88;35;2;formation sélective
88;15;0;formation sélective
88;52;5;formation sélective
89;27;0;formation sélective
89;28;1;formation sélective
89;18;1;formation sélective
89;24;0;formation sélective
89;7;0;formation sélective
89;24;0;formation sélective
89;18;0;formation sélective
89;112;26;formation sélective
90;90;11;formation non sélective
91;28;1;formation sélective
91;24;0;formation sélective
91;35;0;formation sélective
91;35;0;formation sélective
91;35;0;formation sélective
91;36;13;formation sélective
91;40;1;formation sélective
91;36;1;formation sélective
91;35;1;formation sélective
91;30;0;formation sélective
91;30;0;formation sélective
91;35;0;formation sélective
91;32;0;formation sélective
91;32;1;formation sélective
91;30;1;formation sélective
91;105;69;formation non sélective
91;15;0;formation sélective
91;34;1;formation sélective
91;50;7;formation sélective
91;140;37;formation non sélective
91;72;8;formation sélective
91;65;8;formation sélective
91;30;0;formation sélective
92;35;0;formation sélective
92;48;13;formation sélective
92;35;0;formation sélective
92;35;8;formation sélective
92;35;21;formation sélective
92;35;13;formation sélective
92;85;21;formation non sélective
92;66;19;formation non sélective
92;29;2;formation non sélective
92;34;1;formation non sélective
92;34;2;formation non sélective
92;363;199;formation non sélective
92;42;41;formation sélective
92;32;1;formation sélective
92;20;17;formation sélective
92;15;0;formation sélective
92;24;1;formation sélective
92;40;0;formation sélective
93;30;0;formation sélective
93;24;0;formation sélective
93;30;0;formation sélective
93;30;0;formation sélective
93;35;4;formation sélective
93;35;3;formation sélective
93;24;0;formation sélective
93;24;0;formation sélective
93;15;15;formation sélective
93;250;57;formation non sélective
93;23;0;formation sélective
93;33;1;formation sélective
93;24;0;formation sélective
93;64;12;formation sélective
93;32;5;formation sélective
93;105;4;formation non sélective
93;30;0;formation sélective
93;12;5;formation sélective
93;12;4;formation sélective
93;24;0;formation sélective
93;75;5;formation sélective
93;28;5;formation sélective
93;40;5;formation sélective
94;42;0;formation sélective
94;24;0;formation sélective
94;35;0;formation sélective
94;35;0;formation sélective
94;35;0;formation sélective
94;35;13;formation sélective
94;48;41;formation sélective
94;24;0;formation sélective
94;24;1;formation sélective
94;35;0;formation sélective
94;24;0;formation sélective
94;24;0;formation sélective
94;29;2;formation sélective
94;33;2;formation sélective
94;34;0;formation sélective
94;26;1;formation sélective
94;110;32;formation sélective
94;35;0;formation sélective
94;34;5;formation sélective
94;34;3;formation sélective
94;24;0;formation sélective
94;430;181;formation non sélective
94;90;51;formation sélective
94;680;218;formation non sélective
94;32;17;formation sélective
94;38;20;formation sélective
94;30;4;formation sélective
94;24;0;formation sélective
94;37;0;formation sélective
94;24;13;formation sélective
94;45;28;formation sélective
94;33;0;formation sélective
94;30;1;formation sélective
94;24;1;formation sélective
94;24;0;formation sélective
95;33;0;formation sélective
95;29;0;formation sélective
95;14;0;formation sélective
95;15;0;formation sélective
95;29;0;formation sélective
95;45;27;formation sélective
95;35;3;formation sélective
95;35;0;formation sélective
95;35;0;formation sélective
95;35;0;formation sélective
95;35;0;formation sélective
95;24;0;formation sélective
95;36;4;formation sélective
95;36;8;formation sélective
95;28;0;formation sélective
95;35;5;formation sélective
95;42;0;formation sélective
95;30;0;formation sélective
95;665;327;formation non sélective
95;40;25;formation sélective
95;35;7;formation sélective
95;170;63;formation sélective
95;120;15;formation non sélective
95;30;0;formation sélective
95;35;0;formation sélective
95;120;46;formation sélective
20;15;1;formation sélective
20;30;4;formation sélective
20;10;2;formation sélective
20;34;3;formation sélective
20;15;0;formation sélective
20;50;12;formation sélective
20;46;8;formation sélective
20;24;0;formation sélective
20;25;2;formation sélective
20;24;12;formation sélective
20;80;23;formation non sélective
20;80;20;formation non sélective
971;40;17;formation sélective
971;48;5;formation sélective
971;33;3;formation sélective
971;34;6;formation sélective
971;28;0;formation sélective
971;15;0;formation sélective
971;28;2;formation sélective
971;36;0;formation sélective
971;26;2;formation sélective
972;24;2;formation sélective
972;24;1;formation sélective
972;30;0;formation sélective
972;24;1;formation sélective
972;25;0;formation sélective
972;31;1;formation sélective
972;30;0;formation sélective
972;24;1;formation sélective
972;200;6;formation non sélective
973;36;2;formation sélective
973;36;4;formation sélective
973;27;2;formation sélective
974;30;4;formation sélective
974;35;1;formation sélective
974;220;50;formation non sélective
974;28;2;formation sélective
974;36;0;formation sélective
974;35;0;formation sélective
974;35;0;formation sélective
974;35;12;formation sélective
974;32;1;formation sélective
974;580;144;formation non sélective
974;10;0;formation sélective
974;34;1;formation sélective
974;24;2;formation sélective
974;12;0;formation sélective
974;24;0;formation sélective
987;24;0;formation sélective
987;140;51;formation non sélective
35;45;33;formation sélective
49;47;32;formation sélective
75;30;7;formation sélective
38;35;3;formation sélective
973;40;11;formation sélective
972;62;24;formation sélective
78;50;11;formation sélective
33;35;1;formation sélective
75;36;2;formation sélective
92;58;22;formation non sélective
69;72;18;formation sélective
31;28;25;formation sélective
76;150;26;formation non sélective
31;15;3;formation sélective
75;24;1;formation sélective
87;24;3;formation sélective
63;20;1;formation sélective
47;32;6;formation sélective
75;30;10;formation non sélective
75;20;12;formation sélective
13;1278;897;formation non sélective
40;11;0;formation sélective
59;446;117;formation non sélective
974;34;0;formation sélective
49;44;5;formation sélective
49;13;2;formation sélective
44;15;1;formation sélective
13;500;240;formation non sélective
59;60;7;formation sélective
42;40;10;formation non sélective
94;20;12;formation sélective
13;50;23;formation sélective
91;170;72;formation non sélective
59;45;5;formation non sélective
52;15;2;formation sélective
26;15;0;formation sélective
45;45;1;formation sélective
49;15;0;formation sélective
62;24;1;formation sélective
31;35;5;formation sélective
78;30;30;formation sélective
974;42;38;formation sélective
31;10;0;formation sélective
75;30;1;formation non sélective
69;24;1;formation sélective
77;12;0;formation sélective
3;6;0;formation sélective
71;12;1;formation sélective
95;10;0;formation sélective
92;12;0;formation sélective
91;6;0;formation sélective
92;12;0;formation sélective
71;18;1;formation sélective
92;150;68;formation sélective
94;12;0;formation sélective
76;15;2;formation sélective
33;27;2;formation sélective
84;12;0;formation sélective
83;24;0;formation sélective
93;44;3;formation sélective
37;20;1;formation sélective
45;14;5;formation sélective
987;40;6;formation non sélective
31;35;1;formation sélective
32;24;2;formation sélective
81;15;0;formation sélective
31;15;0;formation sélective
34;23;0;formation sélective
92;340;378;formation sélective
34;22;0;formation sélective
34;80;76;formation sélective
1;20;0;formation sélective
976;24;3;formation sélective
33;38;22;formation sélective
56;30;0;formation sélective
35;280;41;formation sélective
35;80;4;formation sélective
35;150;14;formation sélective
35;100;9;formation sélective
31;60;54;formation sélective
57;260;58;formation non sélective
976;20;7;formation non sélective
69;36;12;formation non sélective
54;85;30;formation non sélective
59;50;2;formation non sélective
35;325;106;formation non sélective
49;70;21;formation non sélective
31;125;64;formation non sélective
88;100;26;formation non sélective
25;18;6;formation sélective
94;60;67;formation sélective
34;30;0;formation sélective
67;20;0;formation non sélective
35;14;0;formation sélective
62;15;0;formation sélective
31;24;5;formation sélective
95;30;19;formation sélective
974;25;0;formation sélective
30;30;1;formation sélective
66;24;1;formation sélective
972;13;1;formation sélective
17;24;1;formation sélective
59;36;1;formation sélective
75;39;4;formation sélective
973;22;0;formation sélective
45;15;1;formation sélective
45;10;0;formation sélective
13;26;0;formation sélective
13;33;5;formation sélective
48;36;0;formation sélective
83;24;1;formation sélective
6;28;4;formation sélective
77;190;106;formation non sélective
12;56;8;formation sélective
25;18;12;formation sélective
84;20;7;formation sélective
59;155;24;formation sélective
54;15;11;formation sélective
93;14;0;formation sélective
59;10;10;formation sélective
90;12;4;formation sélective
51;362;49;formation non sélective
10;80;14;formation non sélective
83;15;5;formation sélective
92;58;6;formation non sélective
92;112;40;formation non sélective
92;90;27;formation non sélective
72;77;14;formation non sélective
64;90;15;formation non sélective
66;62;9;formation non sélective
31;8;5;formation sélective
972;75;8;formation non sélective
59;310;83;formation non sélective
93;130;17;formation non sélective
93;200;63;formation sélective
63;13;8;formation sélective
57;23;8;formation sélective
6;30;7;formation sélective
6;30;5;formation sélective
75;29;15;formation non sélective
75;36;22;formation non sélective
59;75;24;formation sélective
63;24;0;formation sélective
974;18;0;formation sélective
93;30;0;formation sélective
75;35;6;formation sélective
59;120;24;formation non sélective
59;80;1;formation non sélective
59;55;3;formation non sélective
76;105;26;formation non sélective
76;105;5;formation non sélective
75;15;2;formation sélective
86;19;1;formation sélective
14;20;0;formation sélective
973;16;2;formation sélective
62;24;9;formation sélective
50;15;0;formation sélective
75;35;15;formation sélective
972;75;4;formation non sélective
972;350;24;formation non sélective
972;200;24;formation non sélective
