Code départemental de l’établissement;Capacité de l’établissement par formation;Effectif des admis néo bacheliers généraux ayant eu une mention au bac;Sélectivité
37;600;370;formation non sélective
37;48;0;formation sélective
38;24;0;formation sélective
38;34;0;formation sélective
38;144;138;formation sélective
38;30;0;formation sélective
38;56;3;formation sélective
38;120;60;formation sélective
38;95;71;formation sélective
38;78;34;formation sélective
38;22;0;formation sélective
38;24;0;formation sélective
38;38;1;formation sélective
38;15;0;formation sélective
38;145;48;formation sélective
38;28;6;formation sélective
38;28;4;formation sélective
38;15;5;formation non sélective
38;65;12;formation non sélective
38;15;7;formation non sélective
38;25;8;formation non sélective
38;15;2;formation sélective
38;30;0;formation sélective
38;30;1;formation sélective
38;10;7;formation sélective
38;10;3;formation sélective
38;34;1;formation sélective
38;52;0;formation sélective
38;84;24;formation sélective
39;34;7;formation sélective
39;30;4;formation sélective
39;18;0;formation sélective
39;32;1;formation sélective
39;16;0;formation sélective
39;40;1;formation sélective
40;15;0;formation sélective
40;30;0;formation sélective
40;35;1;formation sélective
40;13;2;formation sélective
40;52;18;formation sélective
41;24;0;formation sélective
41;60;0;formation sélective
41;60;8;formation sélective
41;52;21;formation sélective
41;54;19;formation sélective
42;35;0;formation sélective
42;24;0;formation sélective
42;15;0;formation sélective
42;18;0;formation sélective
42;24;0;formation sélective
42;32;4;formation sélective
42;11;1;formation sélective
42;14;1;formation sélective
42;161;61;formation sélective
42;30;0;formation sélective
42;60;3;formation sélective
42;175;58;formation non sélective
42;55;4;formation non sélective
42;60;7;formation non sélective
42;75;11;formation non sélective
42;300;84;formation non sélective
42;110;25;formation sélective
43;8;1;formation sélective
43;40;0;formation sélective
43;40;2;formation sélective
43;24;1;formation sélective
43;52;24;formation sélective
43;25;0;formation sélective
44;144;137;formation sélective
44;30;8;formation sélective
44;35;6;formation sélective
44;35;3;formation sélective
44;15;2;formation sélective
44;33;0;formation sélective
44;14;2;formation sélective
44;10;0;formation sélective
44;22;0;formation sélective
44;18;1;formation sélective
44;90;24;formation sélective
44;104;49;formation sélective
44;35;20;formation sélective
44;15;1;formation sélective
44;35;6;formation sélective
44;45;6;formation sélective
44;14;0;formation sélective
44;15;0;formation sélective
44;28;1;formation sélective
44;24;0;formation sélective
44;23;0;formation sélective
44;33;1;formation sélective
44;33;1;formation sélective
44;33;0;formation sélective
44;34;10;formation sélective
44;40;12;formation sélective
44;30;2;formation sélective
44;32;3;formation sélective
44;78;8;formation sélective
44;115;29;formation sélective
44;420;140;formation non sélective
44;190;54;formation non sélective
44;300;83;formation non sélective
44;428;68;formation non sélective
44;18;7;formation sélective
44;18;2;formation sélective
44;68;9;formation sélective
44;24;1;formation sélective
44;24;0;formation sélective
45;24;0;formation sélective
45;144;136;formation sélective
45;48;11;formation sélective
45;58;2;formation sélective
45;50;4;formation sélective
45;14;0;formation sélective
45;14;0;formation sélective
45;28;1;formation sélective
45;28;3;formation sélective
45;24;6;formation sélective
45;350;140;formation non sélective
45;30;3;formation sélective
46;12;0;formation sélective
46;28;1;formation sélective
46;15;0;formation sélective
46;28;1;formation sélective
47;35;7;formation sélective
47;15;0;formation sélective
47;35;0;formation sélective
47;35;0;formation sélective
47;11;0;formation sélective
47;15;0;formation sélective
48;35;1;formation sélective
48;18;1;formation sélective
48;26;0;formation sélective
48;36;1;formation sélective
48;40;6;formation sélective
49;33;2;formation sélective
49;66;3;formation sélective
49;10;0;formation sélective
49;80;37;formation sélective
49;30;14;formation sélective
49;38;21;formation sélective
49;10;0;formation sélective
49;50;14;formation non sélective
49;75;37;formation non sélective
49;12;0;formation sélective
49;18;0;formation sélective
49;18;0;formation sélective
49;35;1;formation sélective
49;70;4;formation sélective
49;48;26;formation sélective
49;40;26;formation sélective
49;35;2;formation sélective
50;18;0;formation sélective
50;24;0;formation sélective
50;30;2;formation sélective
50;18;1;formation sélective
50;12;0;formation sélective
50;36;3;formation sélective
50;22;0;formation sélective
50;25;3;formation sélective
50;24;0;formation sélective
50;24;0;formation sélective
50;35;1;formation sélective
50;15;0;formation sélective
50;25;1;formation sélective
50;32;1;formation sélective
51;96;62;formation sélective
51;96;45;formation sélective
51;15;3;formation sélective
51;30;6;formation sélective
51;72;4;formation sélective
51;36;1;formation sélective
51;15;0;formation sélective
51;24;1;formation sélective
51;19;1;formation sélective
51;210;41;formation non sélective
51;270;84;formation non sélective
51;15;0;formation sélective
51;15;0;formation sélective
51;15;1;formation sélective
51;60;1;formation sélective
52;24;1;formation sélective
52;24;4;formation sélective
52;20;2;formation sélective
52;20;1;formation sélective
52;35;0;formation sélective
52;12;0;formation sélective
53;30;0;formation sélective
53;24;1;formation sélective
53;15;1;formation sélective
53;50;0;formation sélective
53;32;5;formation sélective
53;16;0;formation sélective
54;15;1;formation sélective
54;35;1;formation sélective
54;24;1;formation sélective
54;96;87;formation sélective
54;96;86;formation sélective
54;35;15;formation sélective
54;24;1;formation sélective
54;45;3;formation sélective
54;35;3;formation sélective
54;27;6;formation sélective
54;180;26;formation non sélective
54;32;16;formation sélective
54;30;2;formation non sélective
54;120;13;formation sélective
54;20;1;formation non sélective
